,MAE,RMSE,Pearson,Spearman
MLP,0.5802098619395457,0.7553160911378033,0.4543773708235396,0.45652231413015665
Random Forest,0.4839866666666666,0.6743773515044987,0.49668908191073236,0.5504527902675561
XGB,0.5551185090144475,0.7695674467152,0.2393870508866074,0.3407083937313558
