,MAE,RMSE,Pearson,Spearman
MLP,0.5933566675388208,0.7700898196812274,0.44401019081185455,0.44108366444244285
MLP_2,0.5599318368392638,0.6899707899384706,0.49481987503852964,0.5408336938889182
Random Forest,0.4744533333333333,0.6513845365407782,0.557646175140056,0.6163916959431193
XGB,0.4959733953873316,0.6855662235670759,0.4416317287270655,0.513130696318441
XGB_2,0.4588793431917826,0.6237452750195839,0.616629202528114,0.6394775272518504
