diff_LIX,diff_RIX,diff_REL,diff_KandelMoles,diff_Mesnager,diff_characters_per_word,diff_syll_per_word,diff_words_per_sentence,diff_sentences_per_paragraph,diff_type_token_ratio,diff_directspeech_ratio,diff_characters,diff_syllables,diff_words,diff_wordtypes,diff_sentences,diff_long_words,diff_complex_words,diff_complex_words_mes,diff_tobeverb,diff_auxverb,diff_conjunction,diff_preposition,diff_nominalization,diff_subordination,diff_article,diff_pronoun,diff_interrogative
-20.73160173160173,-6.0,18.169848484848487,20.819696969696963,-8.20923520923521,0.2240259740259746,0.0151515151515151,-19.0,0.0,0.0086580086580085,-1.0,-16.0,-7.0,-5.0,-4.0,1.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0
-3.5,-2.0,-3.723333333333344,-2.166666666666657,-0.3333333333333286,0.2250000000000005,0.1333333333333333,-6.0,0.0,-0.15,0.0,-28.0,-7.0,-6.0,-9.0,0.0,-2.0,1.0,-1.0,-1.0,0.0,1.0,-2.0,1.0,-1.0,0.0,0.0,0.0
-7.030303030303031,-2.0,30.080202020201995,28.64040404040405,-2.680134680134678,-0.7474747474747474,-0.3535353535353536,-4.0,0.0,-0.0101010101010101,0.0,-38.0,-14.0,-4.0,-4.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
-9.555555555555555,-3.0,8.520606060606042,8.721212121212133,-2.3434343434343425,-0.4090909090909091,-0.0606060606060605,-4.0,0.0,-0.0555555555555555,0.0,-31.0,-8.0,-4.0,-5.0,0.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0
9.254032258064512,1.5,-6.766935483870952,-9.435483870967744,3.454301075268816,-0.1965725806451614,-0.1149193548387097,15.0,0.0,-0.0070564516129032,-0.5,-10.0,-5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
-14.462962962962962,-5.0,16.033981481481504,17.254629629629633,-5.018518518518516,-0.0429629629629628,-0.0592592592592593,-11.5,0.0,0.0029629629629629,0.0,9.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-8.409090909090907,-2.25,10.65075757575758,10.901515151515156,-3.6868686868686886,-0.25,-0.0757575757575759,-5.0,0.0,0.0037878787878787,-0.75,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-2.2962962962962976,-1.0,4.142910052910054,5.101058201058194,1.880070546737216,0.079365079365079,0.0264550264550265,-6.0,0.0,0.0423280423280423,0.0,-27.0,-9.0,-6.0,-4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0
-10.955334987593048,-3.0,10.55390818858561,10.812034739454075,-3.899917287014059,-0.0471464019851115,-0.0744416873449129,-5.0,0.0,0.0074441687344912,0.0,-23.0,-10.0,-5.0,-4.0,0.0,-3.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
-1.75,0.0,3.3329999999999984,4.565000000000012,-4.5,0.34375,0.05125,-7.0,0.0,0.0849999999999999,0.0,-24.0,-9.0,-7.0,-4.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
-20.02380952380953,-4.5,21.171785714285704,21.78928571428574,-0.3253968253968242,-0.2380952380952381,-0.1428571428571428,-10.5,0.0,-0.0476190476190475,0.0,-5.0,-3.0,0.0,-1.0,1.0,-2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0
-5.595238095238095,-2.0,2.66547619047617,3.5238095238095184,5.277777777777779,-0.0386904761904762,0.0327380952380953,-5.0,0.0,0.0476190476190476,0.0,-28.0,-9.0,-5.0,-4.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0
-10.0,-3.5,10.150000000000006,11.5,-3.333333333333332,0.0,0.0,-10.0,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
