,MAE,RMSE,Pearson,Spearman
MLP,0.5821685976036056,0.7577880222374321,0.4512231500832912,0.4693157123137452
Random Forest,0.5083033333333333,0.6893100451417585,0.4400897726400716,0.4979806195220862
XGB,0.5714191327492395,0.7672733861169172,0.2282133632168348,0.2760680660669089
