,MAE,RMSE,Pearson,Spearman
MLP,0.5533872323159015,0.7347758094162478,0.31630473996945374,0.23850549470832774
Random Forest,0.5309899999999999,0.7313326978879037,0.30589662591868666,0.3715856931067837
XGB,0.5624492496649424,0.7080961428492175,0.41612175447677946,0.43983318191321985
