,MAE,RMSE,Pearson,Spearman
MLP,0.551794177403095,0.6771862894533393,0.48958238098929086,0.4798967183302469
Random Forest,0.5298133333333334,0.7252327848506451,0.3313875284177191,0.38644719701177926
XGB,0.5624492496649424,0.7080961428492175,0.41612175447677946,0.43983318191321985
